Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;Hand;Hand Status;OBJ Position;TAR position
3334797;1005162110574984684;1005162110574869400;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334817;1005162110675020805;1005162110675044000;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334837;1005162110775054541;1005162110774708500;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334856;1005162110870092762;1005162110875327400;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334876;1005162110970130119;1005162110979205700;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334896;1005162111070165162;1005162111075144300;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334916;1005162111170198099;1005162111175984100;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334936;1005162111270236960;1005162111278647000;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334956;1005162111370273219;1005162111372342900;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334976;1005162111470306896;1005162111476582600;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334996;1005162111570346722;1005162111576810500;(-0.665, 0.929, 0.359);(0.023, 0.152, 0.001, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3335016;1005162111670383794;1005162111675251200;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3335036;1005162111770418537;1005162111775797900;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3335056;1005162111870450759;1005162111898594300;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3335076;1005162111970489348;1005162111980464400;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3335096;1005162112070524784;1005162112077041200;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3335116;1005162112170558945;1005162112177370500;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.001, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3335136;1005162112270598566;1005162112275982100;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.001, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3335156;1005162112370636498;1005162112377595200;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.001, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3335176;1005162112470671294;1005162112471596100;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.001, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3335196;1005162112570703305;1005162112576724500;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.001, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3335216;1005162112670741938;1005162112677900300;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.001, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3335236;1005162112770777776;1005162112777953000;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.001, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3335256;1005162112870811047;1005162112875268600;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.001, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3335276;1005162112970850594;1005162112980729700;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.001, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
