Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;Hand;Hand Status;OBJ Position;TAR position
796941;1005149416695523950;63851299094308;(-0.173, 1.325, -0.104);(0.005, -0.142, 0.017, 0.990);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
796942;1005149416700526051;63851299094308;(-0.173, 1.325, -0.104);(0.005, -0.142, 0.017, 0.990);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
796943;1005149416705528143;63851299094308;(-0.173, 1.325, -0.104);(0.005, -0.142, 0.017, 0.990);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
796944;1005149416710530199;63851299094308;(-0.173, 1.325, -0.104);(0.005, -0.142, 0.017, 0.990);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
796945;1005149416715532248;63851299094308;(-0.173, 1.325, -0.104);(0.005, -0.142, 0.017, 0.990);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
796946;1005149416720534291;63851299094308;(-0.173, 1.325, -0.104);(0.005, -0.142, 0.017, 0.990);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
796947;1005149416725536328;63851299094308;(-0.173, 1.325, -0.104);(0.005, -0.142, 0.017, 0.990);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
796948;1005149416730538359;63851299094308;(-0.173, 1.325, -0.104);(0.005, -0.142, 0.017, 0.990);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
796949;1005149416735540380;63851299094309;(-0.173, 1.325, -0.104);(0.005, -0.142, 0.017, 0.990);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
796950;1005149416740542394;63851299094309;(-0.173, 1.325, -0.104);(0.005, -0.142, 0.017, 0.990);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
