Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;Hand;Hand Status;OBJ Position;TAR position
627423;1005148568798488528;63851298246409;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627424;1005148568803487496;63851298246409;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627425;1005148568808486522;63851298246409;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.136, -0.951, 0.277);(-0.311, 1.221, -10.176);66.525;VALID;(0.203, -0.485, 0.850);(-0.032, 0.000, 0.000);0.000;4.913;0.000;INVALID;;;;;;2;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627426;1005148568813485551;63851298246409;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.173, -0.929, 0.328);(-0.311, 1.221, -10.176);66.525;VALID;(0.215, -0.430, 0.877);(-0.032, 0.000, 0.000);0.000;5.247;0.000;INVALID;;;;;;2;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627427;1005148568818484585;63851298246409;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.178, -0.919, 0.351);(-0.311, 1.221, -10.176);66.525;VALID;(0.213, -0.408, 0.888);(-0.032, 0.000, 0.000);0.000;4.714;0.000;INVALID;;;;;;2;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627428;1005148568823483624;63851298246409;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.178, -0.915, 0.361);(-0.311, 1.221, -10.176);66.525;VALID;(0.211, -0.398, 0.893);(-0.032, 0.000, 0.000);0.000;4.676;0.000;INVALID;;;;;;2;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627429;1005148568828491686;63851298246409;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.191, -0.888, 0.418);(-0.311, 1.221, -10.176);66.525;VALID;(0.216, -0.339, 0.916);(-0.032, 0.000, 0.000);0.000;5.607;0.000;VALID;(0.013, -0.271, 0.963);(0.032, 0.000, 0.000);0.000;5.183;0.000;0.2729976;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627430;1005148568833499460;63851298246409;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.201, -0.868, 0.454);(-0.311, 1.221, -10.176);66.525;VALID;(0.218, -0.299, 0.929);(-0.032, 0.000, 0.000);0.000;5.648;0.000;VALID;(0.015, -0.261, 0.965);(0.032, 0.000, 0.000);0.000;5.185;0.000;0.2969261;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627431;1005148568838506975;63851298246409;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.207, -0.856, 0.474);(-0.311, 1.221, -10.176);66.525;VALID;(0.219, -0.276, 0.936);(-0.032, 0.000, 0.000);0.000;5.651;0.000;VALID;(0.000, -0.477, 0.879);(0.032, 0.000, 0.000);0.000;5.186;0.000;0.1536905;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627432;1005148568843514237;63851298246409;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.210, -0.847, 0.489);(-0.311, 1.221, -10.176);66.525;VALID;(0.218, -0.259, 0.941);(-0.032, 0.000, 0.000);0.000;5.657;0.000;VALID;(0.002, -0.390, 0.921);(0.032, 0.000, 0.000);0.000;5.190;0.000;0.2170976;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627433;1005148568848521242;63851298246409;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.214, -0.835, 0.507);(-0.311, 1.221, -10.176);66.525;VALID;(0.218, -0.238, 0.947);(-0.032, 0.000, 0.000);0.000;5.706;0.000;VALID;(0.004, -0.313, 0.950);(0.032, 0.000, 0.000);0.000;5.232;0.000;0.2682712;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627434;1005148568853527417;63851298246409;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.217, -0.824, 0.523);(-0.311, 1.221, -10.176);66.525;VALID;(0.215, -0.220, 0.952);(-0.032, 0.000, 0.000);0.000;5.790;0.000;VALID;(0.005, -0.260, 0.966);(0.032, 0.000, 0.000);0.000;5.363;0.000;0.294658;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627435;1005148568858531905;63851298246409;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.219, -0.816, 0.535);(-0.311, 1.221, -10.176);66.525;VALID;(0.213, -0.205, 0.955);(-0.032, 0.000, 0.000);0.000;5.820;0.000;VALID;(0.006, -0.227, 0.974);(0.032, 0.000, 0.000);0.000;5.504;0.000;0.3056646;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627436;1005148568863534785;63851298246409;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.220, -0.810, 0.544);(-0.311, 1.221, -10.176);66.525;VALID;(0.209, -0.195, 0.958);(-0.032, 0.000, 0.000);0.000;5.829;0.000;VALID;(0.006, -0.208, 0.978);(0.032, 0.000, 0.000);0.000;5.565;0.000;0.3144466;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627437;1005148568868536788;63851298246410;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.220, -0.806, 0.550);(-0.311, 1.221, -10.176);66.525;VALID;(0.206, -0.188, 0.960);(-0.032, 0.000, 0.000);0.000;5.828;0.000;VALID;(0.008, -0.196, 0.981);(0.032, 0.000, 0.000);0.000;5.587;0.000;0.3224166;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627438;1005148568873535269;63851298246410;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.220, -0.805, 0.551);(-0.311, 1.221, -10.176);66.450;VALID;(0.203, -0.186, 0.961);(-0.032, 0.000, 0.000);0.000;5.801;0.000;VALID;(0.010, -0.192, 0.981);(0.032, 0.000, 0.000);0.000;5.597;0.000;0.3308645;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627439;1005148568878533755;63851298246410;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.219, -0.805, 0.552);(-0.311, 1.221, -10.176);66.450;VALID;(0.201, -0.186, 0.962);(-0.032, 0.000, 0.000);0.000;5.711;0.000;VALID;(0.011, -0.191, 0.981);(0.032, 0.000, 0.000);0.000;5.597;0.000;0.3380933;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627440;1005148568883532327;63851298246410;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.217, -0.805, 0.552);(-0.311, 1.221, -10.176);66.450;VALID;(0.198, -0.186, 0.962);(-0.032, 0.000, 0.000);0.000;5.672;0.000;VALID;(0.013, -0.191, 0.982);(0.032, 0.000, 0.000);0.000;5.581;0.000;0.3458785;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627441;1005148568888531039;63851298246410;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.214, -0.805, 0.553);(-0.311, 1.221, -10.176);66.450;VALID;(0.195, -0.187, 0.963);(-0.032, 0.000, 0.000);0.000;5.636;0.000;VALID;(0.015, -0.191, 0.981);(0.032, 0.000, 0.000);0.000;5.502;0.000;0.3552627;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627442;1005148568893529890;63851298246410;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.212, -0.806, 0.553);(-0.311, 1.221, -10.176);66.450;VALID;(0.194, -0.187, 0.963);(-0.032, 0.000, 0.000);0.000;5.603;0.000;VALID;(0.018, -0.191, 0.981);(0.032, 0.000, 0.000);0.000;5.439;0.000;0.3636671;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627443;1005148568898528881;63851298246410;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.209, -0.806, 0.554);(-0.311, 1.221, -10.176);66.450;VALID;(0.192, -0.187, 0.963);(-0.032, 0.000, 0.000);0.000;5.578;0.000;VALID;(0.020, -0.191, 0.981);(0.032, 0.000, 0.000);0.000;5.398;0.000;0.371213;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627444;1005148568903527956;63851298246410;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.208, -0.805, 0.555);(-0.311, 1.221, -10.176);66.500;VALID;(0.191, -0.186, 0.964);(-0.032, 0.000, 0.000);0.000;5.555;0.000;VALID;(0.022, -0.190, 0.982);(0.032, 0.000, 0.000);0.000;5.369;0.000;0.3775827;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627445;1005148568908527035;63851298246410;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.206, -0.805, 0.557);(-0.311, 1.221, -10.176);66.500;VALID;(0.191, -0.185, 0.964);(-0.032, 0.000, 0.000);0.000;5.537;0.000;VALID;(0.024, -0.189, 0.982);(0.032, 0.000, 0.000);0.000;5.349;0.000;0.3835266;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
627446;1005148568913526117;63851298246410;(-0.311, 1.221, -0.176);(0.362, 0.065, -0.061, 0.928);VALID;(0.205, -0.804, 0.558);(-0.311, 1.221, -10.176);66.550;VALID;(0.190, -0.184, 0.964);(-0.032, 0.000, 0.000);0.000;5.522;0.000;VALID;(0.025, -0.188, 0.982);(0.032, 0.000, 0.000);0.000;5.336;0.000;0.3889893;0;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
