Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;Hand;Hand Status;OBJ Position;TAR position
883195;1005149848121686783;1005149848619927900;(-0.168, 1.272, -0.098);(0.234, -0.085, 0.043, 0.968);VALID;(-0.020, -0.560, 0.828);(-0.168, 1.272, -10.098);67.450;VALID;(0.170, -0.124, 0.978);(-0.032, 0.000, 0.000);0.000;4.587;0.000;VALID;(0.012, -0.126, 0.992);(0.032, 0.000, 0.000);0.000;4.520;0.000;0.4050385;0.3646415;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
883196;1005149848126691413;1005149848620053400;(-0.168, 1.272, -0.098);(0.234, -0.085, 0.043, 0.968);VALID;(-0.023, -0.561, 0.828);(-0.168, 1.272, -10.098);67.450;VALID;(0.166, -0.125, 0.978);(-0.032, 0.000, 0.000);0.000;4.585;0.000;VALID;(0.008, -0.127, 0.992);(0.032, 0.000, 0.000);0.000;4.520;0.000;0.4064435;0.3463321;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
883197;1005149848131695921;1005149848620081900;(-0.168, 1.272, -0.098);(0.234, -0.085, 0.043, 0.968);VALID;(-0.025, -0.561, 0.827);(-0.168, 1.272, -10.098);67.450;VALID;(0.163, -0.125, 0.979);(-0.032, 0.000, 0.000);0.000;4.582;0.000;VALID;(0.005, -0.127, 0.992);(0.032, 0.000, 0.000);0.000;4.521;0.000;0.408636;0.3455259;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
883198;1005149848136696846;1005149848620102500;(-0.168, 1.272, -0.098);(0.234, -0.085, 0.043, 0.968);VALID;(-0.028, -0.562, 0.827);(-0.168, 1.272, -10.098);67.450;VALID;(0.159, -0.125, 0.979);(-0.032, 0.000, 0.000);0.000;4.580;0.000;VALID;(0.003, -0.127, 0.992);(0.032, 0.000, 0.000);0.000;4.522;0.000;0.4114387;0.3252803;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
883199;1005149848141697770;1005149848620122600;(-0.168, 1.272, -0.098);(0.234, -0.085, 0.043, 0.968);VALID;(-0.030, -0.562, 0.827);(-0.168, 1.272, -10.098);67.450;VALID;(0.156, -0.125, 0.980);(-0.032, 0.000, 0.000);0.000;4.580;0.000;VALID;(0.001, -0.127, 0.992);(0.032, 0.000, 0.000);0.000;4.525;0.000;0.4139405;0.3236031;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
883200;1005149848146698719;1005149848620143000;(-0.168, 1.272, -0.098);(0.234, -0.085, 0.043, 0.968);VALID;(-0.032, -0.562, 0.826);(-0.168, 1.272, -10.098);67.450;VALID;(0.153, -0.125, 0.980);(-0.032, 0.000, 0.000);0.000;4.580;0.000;VALID;(-0.001, -0.127, 0.992);(0.032, 0.000, 0.000);0.000;4.529;0.000;0.4160276;0.3604815;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
883201;1005149848151699666;1005149848620161200;(-0.168, 1.272, -0.098);(0.234, -0.085, 0.043, 0.968);VALID;(-0.034, -0.562, 0.826);(-0.168, 1.272, -10.098);67.450;VALID;(0.151, -0.125, 0.981);(-0.032, 0.000, 0.000);0.000;4.580;0.000;VALID;(-0.003, -0.127, 0.992);(0.032, 0.000, 0.000);0.000;4.533;0.000;0.4190284;0.3592075;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
883202;1005149848156700611;1005149848620181700;(-0.168, 1.272, -0.098);(0.234, -0.085, 0.043, 0.968);VALID;(-0.035, -0.562, 0.826);(-0.168, 1.272, -10.098);67.450;VALID;(0.148, -0.126, 0.981);(-0.032, 0.000, 0.000);0.000;4.580;0.000;VALID;(-0.005, -0.127, 0.992);(0.032, 0.000, 0.000);0.000;4.539;0.000;0.4214101;0.3644564;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
883203;1005149848161701688;1005149848620206700;(-0.168, 1.272, -0.098);(0.234, -0.085, 0.043, 0.968);VALID;(-0.036, -0.563, 0.826);(-0.168, 1.272, -10.098);67.450;VALID;(0.146, -0.126, 0.981);(-0.032, 0.000, 0.000);0.000;4.579;0.000;VALID;(-0.006, -0.127, 0.992);(0.032, 0.000, 0.000);0.000;4.540;0.000;0.4241289;0.3381805;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
883204;1005149848166702898;1005149848620227300;(-0.168, 1.272, -0.098);(0.234, -0.085, 0.043, 0.968);VALID;(-0.037, -0.563, 0.826);(-0.168, 1.272, -10.098);67.450;VALID;(0.144, -0.126, 0.981);(-0.032, 0.000, 0.000);0.000;4.578;0.000;VALID;(-0.007, -0.127, 0.992);(0.032, 0.000, 0.000);0.000;4.541;0.000;0.4259957;0.3335106;(-0.20, 1.21, -9.70);(0.00000, -0.53519, 0.00000, -0.84473);not using;not using
